time,left_val,right_val,leftspeed,rightspeed
4654,344.00,369.00,12,"27
"
4680,369.00,442.00,10,"31
"
4708,388.00,638.00,7,"42
"
4733,371.00,689.00,7,"48
"
4760,362.00,586.00,8,"42
"
4786,368.00,351.00,27,"14
"
4812,356.00,294.00,31,"12
"
4840,381.00,309.00,32,"12
"
4867,399.00,279.00,37,"10
"
4894,432.00,301.00,37,"10
"
4921,416.00,331.00,32,"11
"
4947,409.00,354.00,30,"13
"
4975,366.00,337.00,28,"13
"
5002,350.00,323.00,28,"13
"
5029,361.00,330.00,28,"13
"
5056,360.00,331.00,28,"13
"
5083,393.00,339.00,30,"13
"
5110,445.00,301.00,38,"10
"
5137,402.00,355.00,29,"13
"
5165,392.00,425.00,11,"28
"
5191,413.00,673.00,7,"42
"
5217,408.00,790.00,6,"50
"
5243,404.00,807.00,6,"51
"
5269,360.00,781.00,5,"56
"
5296,366.00,555.00,8,"39
"
5321,400.00,335.00,31,"12
"
5348,405.00,355.00,29,"13
"
5376,445.00,375.00,30,"12
"
5402,743.00,361.00,53,"7
"
5429,819.00,337.00,63,"6
"
5454,817.00,294.00,72,"5
"
5480,786.00,271.00,75,"5
"
5507,587.00,281.00,54,"7
"
5532,443.00,358.00,32,"12
"
5560,425.00,400.00,27,"14
"
5586,453.00,510.00,11,"29
"
5613,460.00,824.00,7,"46
"
5640,431.00,852.00,6,"51
"
5665,457.00,840.00,7,"47
"
5692,506.00,826.00,7,"42
"
5718,477.00,832.00,7,"45
"
5743,499.00,745.00,8,"38
"
5770,505.00,424.00,30,"12
"
5796,505.00,301.00,43,"8
"
5823,457.00,363.00,32,"11
"
5850,575.00,364.00,41,"9
"
5875,657.00,381.00,44,"8
"
5902,651.00,385.00,43,"8
"
5927,563.00,367.00,39,"9
"
5953,455.00,344.00,34,"11
"
5981,407.00,341.00,31,"12
"
6007,393.00,313.00,32,"12
"
6035,412.00,305.00,35,"11
"
6062,417.00,355.00,30,"12
"
6089,406.00,429.00,12,"27
"
6116,409.00,629.00,8,"39
"
6141,407.00,730.00,7,"46
"
6168,394.00,773.00,6,"51
"
6194,408.00,704.00,7,"44
"
6219,374.00,277.00,35,"11
"
6247,374.00,233.00,41,"9
"
6273,416.00,272.00,39,"9
"
6299,439.00,278.00,41,"9
"
6325,474.00,331.00,37,"10
"
6351,406.00,347.00,30,"12
"
6379,381.00,318.00,31,"12
"
6406,421.00,326.00,33,"11
"
6433,398.00,316.00,32,"11
"
6460,407.00,285.00,37,"10
"
6488,407.00,334.00,31,"12
"
6514,367.00,318.00,30,"13
"
6541,336.00,366.00,11,"28
"
6568,399.00,650.00,7,"42
"
6594,446.00,772.00,7,"45
"
6620,440.00,806.00,7,"47
"
6646,386.00,713.00,7,"48
"
6672,360.00,390.00,12,"28
"
6700,298.00,302.00,12,"26
"
6726,320.00,333.00,12,"27
"
6754,376.00,336.00,29,"13
"
6780,646.00,351.00,47,"8
"
6806,812.00,395.00,53,"7
"
6833,813.00,385.00,54,"7
"
6858,810.00,365.00,57,"6
"
6884,793.00,351.00,58,"6
"
6910,669.00,352.00,49,"7
"
6936,370.00,342.00,28,"13
"
6964,326.00,355.00,11,"28
"
6990,375.00,425.00,11,"29
"
7017,381.00,717.00,6,"48
"
7044,386.00,814.00,6,"54
"
7069,375.00,821.00,5,"56
"
7096,387.00,712.00,7,"47
"
7121,395.00,380.00,27,"14
"
7148,394.00,315.00,32,"12
"
7176,364.00,312.00,30,"12
"
7202,642.00,345.00,48,"8
"
7229,757.00,324.00,60,"6
"
7255,797.00,314.00,65,"5
"
7280,751.00,331.00,58,"6
"
7307,595.00,333.00,46,"8
"
7332,435.00,377.00,30,"13
"
7360,423.00,288.00,38,"10
"
7387,399.00,323.00,32,"12
"
7413,381.00,418.00,11,"28
"
7441,390.00,566.00,8,"37
"
7467,417.00,657.00,8,"40
"
7493,421.00,732.00,7,"45
"
7519,400.00,530.00,9,"34
"
7544,383.00,321.00,31,"12
"
7572,394.00,306.00,33,"11
"
7599,408.00,295.00,35,"10
"
7626,513.00,321.00,41,"9
"
7652,554.00,316.00,45,"8
"
7677,535.00,310.00,44,"8
"
7704,470.00,332.00,36,"10
"
7731,394.00,341.00,30,"13
"
7758,401.00,309.00,33,"11
"
7785,416.00,305.00,35,"11
"
7812,401.00,346.00,30,"13
"
7839,371.00,373.00,12,"26
"
7866,370.00,456.00,10,"32
"
7894,376.00,584.00,8,"40
"
7919,362.00,607.00,7,"43
"
7945,373.00,466.00,10,"32
"
7972,360.00,353.00,26,"14
"
7999,337.00,227.00,38,"10
"
8027,307.00,216.00,36,"10
"
8053,303.00,271.00,29,"13
"
8080,280.00,267.00,27,"14
"
8108,285.00,228.00,32,"12
"
8134,298.00,252.00,30,"12
"
8162,264.00,276.00,12,"27
"
8188,237.00,263.00,11,"28
"
8215,250.00,280.00,11,"29
"
8243,252.00,311.00,10,"32
"
8269,290.00,308.00,12,"27
"
8297,432.00,276.00,40,"9
"
8323,704.00,261.00,70,"5
"
8348,798.00,296.00,70,"5
"
8375,818.00,342.00,62,"6
"
8400,800.00,362.00,57,"6
"
8427,645.00,293.00,57,"6
"
8453,409.00,369.00,28,"13
"
8479,425.00,370.00,29,"13
"
8507,395.00,365.00,28,"13
"
8534,403.00,471.00,11,"30
"
8561,372.00,736.00,6,"51
"
8587,383.00,823.00,6,"55
"
8612,388.00,832.00,6,"55
"
8639,375.00,754.00,6,"52
"
8665,430.00,422.00,26,"14
"
8692,408.00,365.00,29,"13
"
8719,462.00,378.00,31,"12
"
8745,745.00,404.00,47,"8
"
8772,659.00,388.00,44,"8
"
8798,731.00,386.00,49,"7
"
8824,660.00,375.00,45,"8
"
8850,722.00,373.00,50,"7
"
8876,498.00,406.00,31,"12
"
8903,419.00,368.00,29,"13
"
8930,431.00,279.00,40,"9
"
8956,426.00,289.00,38,"10
"
8983,413.00,385.00,27,"14
"
9010,390.00,658.00,7,"43
"
9036,364.00,813.00,5,"58
"
9062,446.00,845.00,6,"49
"
9089,512.00,866.00,7,"43
"
9114,463.00,801.00,7,"44
"
9140,520.00,583.00,11,"29
"
9167,493.00,493.00,26,"26
"
9194,533.00,476.00,29,"13
"
9222,797.00,470.00,44,"8
"
9247,833.00,398.00,54,"7
"
9273,820.00,329.00,64,"6
"
9299,827.00,313.00,68,"5
"
9325,818.00,363.00,58,"6
"
9352,726.00,317.00,59,"6
"
9377,386.00,371.00,27,"14
"
9404,380.00,398.00,12,"27
"
9432,356.00,401.00,11,"29
"
9458,354.00,635.00,7,"46
"
9485,338.00,773.00,5,"59
"
9510,371.00,761.00,6,"53
"
9536,430.00,516.00,10,"31
"
9564,409.00,434.00,12,"27
"
9590,419.00,355.00,30,"12
"
9618,406.00,307.00,34,"11
"
9645,723.00,301.00,62,"6
"
9670,798.00,315.00,65,"5
"
9697,825.00,332.00,64,"6
"
9722,770.00,335.00,59,"6
"
9749,731.00,329.00,57,"6
"
9775,452.00,313.00,37,"10
"
9801,369.00,375.00,12,"26
"
9829,379.00,378.00,26,"15
"
9856,359.00,389.00,11,"28
"
9883,381.00,521.00,9,"35
"
9909,379.00,590.00,8,"40
"
9934,383.00,545.00,9,"36
"
9961,421.00,426.00,12,"26
"
9988,410.00,408.00,26,"15
"
